epoch	iou_threshold	score_threshold	tp	fp	fn	precision	recall
148	0.5	0.5	2111	430	189	0.8307752853207399	0.9178260869565218
149	0.5	0.5	2132	383	168	0.847713717693837	0.9269565217391305
150	0.5	0.5	2086	372	214	0.8486574450772986	0.9069565217391304
151	0.5	0.5	2125	388	175	0.8456028651014723	0.9239130434782609
152	0.5	0.5	2099	352	201	0.8563851489188087	0.912608695652174
153	0.5	0.5	2107	426	193	0.8318199763126727	0.9160869565217391
154	0.5	0.5	2132	431	168	0.8318376902067889	0.9269565217391305
155	0.5	0.5	2140	373	160	0.8515718265021887	0.9304347826086956
156	0.5	0.5	2107	326	193	0.8660090423345663	0.9160869565217391
157	0.5	0.5	2073	338	227	0.8598092077975944	0.9013043478260869
158	0.5	0.5	2112	371	188	0.8505839710028191	0.9182608695652174
159	0.5	0.5	2080	391	220	0.8417644678267908	0.9043478260869565
160	0.5	0.5	2095	328	205	0.8646306231943871	0.9108695652173913
161	0.5	0.5	2136	507	164	0.8081725312145289	0.928695652173913
162	0.5	0.5	2065	344	235	0.8572021585720215	0.8978260869565218
163	0.5	0.5	2118	388	182	0.8451715881883479	0.9208695652173913
164	0.5	0.5	2137	387	163	0.8466719492868463	0.9291304347826087
165	0.5	0.5	2113	369	187	0.8513295729250604	0.918695652173913
166	0.5	0.5	2151	408	149	0.8405627198124267	0.9352173913043478
167	0.5	0.5	2198	635	102	0.7758559830568302	0.9556521739130435
168	0.5	0.5	2121	472	179	0.8179714616274586	0.9221739130434783
169	0.5	0.5	2093	369	207	0.8501218521527214	0.91
170	0.5	0.5	2122	379	178	0.8484606157536985	0.922608695652174
171	0.5	0.5	2054	323	246	0.8641144299537232	0.8930434782608696
172	0.5	0.5	2097	403	203	0.8388	0.9117391304347826
173	0.5	0.5	2093	351	207	0.8563829787234043	0.91
174	0.5	0.5	2120	364	180	0.8534621578099839	0.9217391304347826
175	0.5	0.5	2109	383	191	0.8463081861958266	0.9169565217391304
176	0.5	0.5	2151	454	149	0.8257197696737044	0.9352173913043478
177	0.5	0.5	2098	291	202	0.8781917120133947	0.9121739130434783
178	0.5	0.5	2141	392	159	0.8452427951046191	0.9308695652173913
179	0.5	0.5	2111	362	189	0.8536190861302062	0.9178260869565218
180	0.5	0.5	2137	406	163	0.8403460479748329	0.9291304347826087
181	0.5	0.5	2130	399	170	0.8422301304863582	0.9260869565217391
182	0.5	0.5	2120	475	180	0.8169556840077071	0.9217391304347826
183	0.5	0.5	2126	357	174	0.8562223117196939	0.9243478260869565
184	0.5	0.5	2056	357	244	0.852051388313303	0.8939130434782608
185	0.5	0.5	2158	410	142	0.8403426791277259	0.9382608695652174
186	0.5	0.5	2086	325	214	0.8652011613438407	0.9069565217391304
187	0.5	0.5	2094	372	206	0.8491484184914841	0.9104347826086957
188	0.5	0.5	2115	357	185	0.8555825242718447	0.9195652173913044
189	0.5	0.5	2158	413	142	0.839362115908207	0.9382608695652174
190	0.5	0.5	2099	331	201	0.8637860082304527	0.912608695652174
191	0.5	0.5	2150	419	150	0.8369015181004282	0.9347826086956522
192	0.5	0.5	2112	346	188	0.8592351505288853	0.9182608695652174
193	0.5	0.5	2086	354	214	0.8549180327868853	0.9069565217391304
194	0.5	0.5	2134	436	166	0.8303501945525292	0.9278260869565217
195	0.5	0.5	2135	387	165	0.8465503568596352	0.9282608695652174
196	0.5	0.5	2118	381	182	0.8475390156062425	0.9208695652173913
197	0.5	0.5	2135	424	165	0.8343102774521297	0.9282608695652174
198	0.5	0.5	2124	400	176	0.8415213946117274	0.9234782608695652
199	0.5	0.5	2137	403	163	0.8413385826771653	0.9291304347826087
