epoch	threshold	tp	fp	fn	precision	recall
160	0.5	4066903	533922	262414	0.8839508131693772	0.9393867439136474
161	0.5	4063952	588697	265365	0.8734705755796321	0.938705112145865
162	0.5	4026999	528762	302318	0.8839355269075793	0.9301695856413379
163	0.5	4022837	560612	306480	0.8776877412620933	0.9292082330769496
164	0.5	4037254	472157	292063	0.8952951948713479	0.9325383195547935
165	0.5	3983175	416511	346142	0.9053316532134339	0.920046972767298
166	0.5	4028893	462554	300424	0.8970144810792602	0.9306070680432964
167	0.5	3954087	435808	375230	0.90072473259611	0.9133281300491509
168	0.5	4054770	557936	274547	0.8790436676432446	0.9365842233313014
169	0.5	4029075	505097	300242	0.888602152719394	0.9306491070069483
170	0.5	4012245	453452	317072	0.898458852000035	0.9267616577857432
171	0.5	4026194	518925	303123	0.8858280718282624	0.9299836440713397
172	0.5	4093225	591555	236092	0.8737283287582341	0.9454666867776141
173	0.5	3977625	386624	351692	0.9114111041785196	0.9187650153592356
174	0.5	4040879	480288	288438	0.8937690202551686	0.9333756340780774
175	0.5	4002870	439259	326447	0.9011152084957461	0.9245961891910432
176	0.5	4085829	560553	243488	0.879357099782153	0.9437583341667981
177	0.5	4026539	489226	302778	0.8916626529502754	0.9300633333156246
178	0.5	3983906	406422	345411	0.9074278732705164	0.9202158215718553
179	0.5	3980482	393170	348835	0.9101048734558671	0.9194249346952418
180	0.5	4060171	521679	269146	0.8861422787738578	0.9378317642251653
181	0.5	4014183	498558	315134	0.8895221330007639	0.9272093034536395
182	0.5	4110716	640108	218601	0.8652637942386415	0.9495068159712029
183	0.5	3999082	441275	330235	0.9006217292888837	0.9237212243871262
184	0.5	3946484	437472	382833	0.9002106772969437	0.911571963891764
185	0.5	4048160	496126	281157	0.8908242130887009	0.9350574236074651
186	0.5	3942738	359244	386579	0.9164933744492655	0.9107067003871512
187	0.5	4019615	485216	309702	0.8922898550467265	0.9284640048303231
188	0.5	4045491	504833	283826	0.88905559252484	0.9344409291350113
